Campaign,Ad group,Keyword,Match type,Final URL,Status
US | Search | Featured Auto | MPN Intent,HUSKY 81147 Bike Rack,husky 81147,Exact,https://omni-terrain.com/us-husky-towing-81147.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=hus81147,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCN9010F,ram 3500 iwcn9010f,Phrase,https://omni-terrain.com/us-coast2coast-iwcn9010f.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=ccin9010f,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCN9010F,iwcn9010f wheel simulator,Phrase,https://omni-terrain.com/us-coast2coast-iwcn9010f.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=ccin9010f,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCN8010F,iwcn8010f,Exact,https://omni-terrain.com/us-coast2coast-iwcn8010f.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=ccin8010f,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCN8010F,iwcn8010f,Phrase,https://omni-terrain.com/us-coast2coast-iwcn8010f.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=ccin8010f,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCN8010F,coast2coast iwcn8010f,Exact,https://omni-terrain.com/us-coast2coast-iwcn8010f.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=ccin8010f,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCN8010F,ram 3500 iwcn8010f,Phrase,https://omni-terrain.com/us-coast2coast-iwcn8010f.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=ccin8010f,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCN8010F,iwcn8010f wheel simulator,Phrase,https://omni-terrain.com/us-coast2coast-iwcn8010f.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=ccin8010f,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCIMP103X,iwcimp103x,Exact,https://omni-terrain.com/us-coast2coast-iwcimp103x.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=cciimp103x,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCIMP103X,iwcimp103x,Phrase,https://omni-terrain.com/us-coast2coast-iwcimp103x.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=cciimp103x,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCIMP103X,coast2coast iwcimp103x,Exact,https://omni-terrain.com/us-coast2coast-iwcimp103x.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=cciimp103x,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCIMP103X,tundra iwcimp103x,Phrase,https://omni-terrain.com/us-coast2coast-iwcimp103x.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=cciimp103x,Paused
US | Search | Featured Auto | MPN Intent,Coast2Coast IWCIMP103X,iwcimp103x wheel cover,Phrase,https://omni-terrain.com/us-coast2coast-iwcimp103x.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=cciimp103x,Paused
US | Search | Featured Auto | MPN Intent,Air Lift 60828HD,air lift 60828hd,Exact,https://omni-terrain.com/us-air-lift-60828hd.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=a1360828hd,Paused
US | Search | Featured Auto | MPN Intent,Air Lift 60828HD,air lift 60828hd,Phrase,https://omni-terrain.com/us-air-lift-60828hd.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=a1360828hd,Paused
US | Search | Featured Auto | MPN Intent,Air Lift 60828HD,airlift 60828hd,Exact,https://omni-terrain.com/us-air-lift-60828hd.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=a1360828hd,Paused
US | Search | Featured Auto | MPN Intent,Air Lift 60828HD,60828hd,Exact,https://omni-terrain.com/us-air-lift-60828hd.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=a1360828hd,Paused
US | Search | Featured Auto | MPN Intent,Air Lift 60828HD,ram 1500 air lift 60828hd,Phrase,https://omni-terrain.com/us-air-lift-60828hd.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=a1360828hd,Paused
US | Search | Featured Auto | MPN Intent,Bilstein 24-066464,bilstein 24-066464,Exact,https://omni-terrain.com/us-bilstein-24-066464.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=b5224066464,Paused
US | Search | Featured Auto | MPN Intent,Bilstein 24-066464,bilstein 24-066464,Phrase,https://omni-terrain.com/us-bilstein-24-066464.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=b5224066464,Paused
US | Search | Featured Auto | MPN Intent,Bilstein 24-066464,24-066464,Exact,https://omni-terrain.com/us-bilstein-24-066464.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=b5224066464,Paused
US | Search | Featured Auto | MPN Intent,Bilstein 24-066464,bilstein 5100 24-066464,Phrase,https://omni-terrain.com/us-bilstein-24-066464.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=b5224066464,Paused
US | Search | Featured Auto | MPN Intent,Bilstein 24-066464,ram 2500 bilstein 24-066464,Phrase,https://omni-terrain.com/us-bilstein-24-066464.html?utm_source=google&utm_medium=cpc&utm_campaign=us_search_featured_auto&utm_content=b5224066464,Paused
